Tabela,Data,Kurs średni,Zmiana
230/A/NBP/2022,2022-11-29,4.7449,-0.22
229/A/NBP/2022,2022-11-28,4.7555,-0.36
228/A/NBP/2022,2022-11-25,4.7729,-0.17
227/A/NBP/2022,2022-11-24,4.7808,0
226/A/NBP/2022,2022-11-23,4.7807,-0.35
225/A/NBP/2022,2022-11-22,4.7977,0.07
224/A/NBP/2022,2022-11-21,4.7944,0.56
223/A/NBP/2022,2022-11-18,4.7675,-0.49
222/A/NBP/2022,2022-11-17,4.7909,0.04
221/A/NBP/2022,2022-11-16,4.7888,-0.36
220/A/NBP/2022,2022-11-15,4.8059,0.17
219/A/NBP/2022,2022-11-14,4.7977,0.15
218/A/NBP/2022,2022-11-10,4.7905,0.92
217/A/NBP/2022,2022-11-09,4.7467,0.11
216/A/NBP/2022,2022-11-08,4.7417,0.23
215/A/NBP/2022,2022-11-07,4.731,-0.45
214/A/NBP/2022,2022-11-04,4.7523,-0.36
213/A/NBP/2022,2022-11-03,4.7697,0.09
212/A/NBP/2022,2022-11-02,4.7656,0.59
211/A/NBP/2022,2022-10-31,4.7376,-0.69
210/A/NBP/2022,2022-10-28,4.7705,-0.19
209/A/NBP/2022,2022-10-27,4.7798,-0.84
208/A/NBP/2022,2022-10-26,4.8203,-0.32
207/A/NBP/2022,2022-10-25,4.8359,-0.52
206/A/NBP/2022,2022-10-24,4.8612,0.19
205/A/NBP/2022,2022-10-21,4.852,-0.4
204/A/NBP/2022,2022-10-20,4.8717,-0.37
203/A/NBP/2022,2022-10-19,4.8899,-0.39
202/A/NBP/2022,2022-10-18,4.9091,-0.61
201/A/NBP/2022,2022-10-17,4.9392,-0.27
200/A/NBP/2022,2022-10-14,4.9526,-0.88
199/A/NBP/2022,2022-10-13,4.9964,-0.53
198/A/NBP/2022,2022-10-12,5.0231,0.1
197/A/NBP/2022,2022-10-11,5.0179,-0.38
196/A/NBP/2022,2022-10-10,5.0372,0.61
195/A/NBP/2022,2022-10-07,5.0065,0.38
194/A/NBP/2022,2022-10-06,4.9874,1.17
193/A/NBP/2022,2022-10-05,4.9299,0.17
192/A/NBP/2022,2022-10-04,4.9215,-1.19
191/A/NBP/2022,2022-10-03,4.9806,-1.79
190/A/NBP/2022,2022-09-30,5.0714,-0.95
189/A/NBP/2022,2022-09-29,5.12,0.97
188/A/NBP/2022,2022-09-28,5.071,1.15
187/A/NBP/2022,2022-09-27,5.0135,0.58
186/A/NBP/2022,2022-09-26,4.9846,0.29
185/A/NBP/2022,2022-09-23,4.9701,0.16
184/A/NBP/2022,2022-09-22,4.9621,-0.13
183/A/NBP/2022,2022-09-21,4.9687,1.88
182/A/NBP/2022,2022-09-20,4.8772,-0.19
181/A/NBP/2022,2022-09-19,4.8864,-0.55
180/A/NBP/2022,2022-09-16,4.9134,-0.01
179/A/NBP/2022,2022-09-15,4.9137,-0.08
178/A/NBP/2022,2022-09-14,4.9174,0.87
177/A/NBP/2022,2022-09-13,4.8752,0.67
176/A/NBP/2022,2022-09-12,4.8428,-0.54
175/A/NBP/2022,2022-09-09,4.8693,0.53
174/A/NBP/2022,2022-09-08,4.8438,0.05
173/A/NBP/2022,2022-09-07,4.8413,0.21
172/A/NBP/2022,2022-09-06,4.8311,-0.36
171/A/NBP/2022,2022-09-05,4.8487,0.52
170/A/NBP/2022,2022-09-02,4.8237,0.26
169/A/NBP/2022,2022-09-01,4.8112,-0.73
168/A/NBP/2022,2022-08-31,4.8467,-0.44
167/A/NBP/2022,2022-08-30,4.8679,-1.34
166/A/NBP/2022,2022-08-29,4.9342,0.3
165/A/NBP/2022,2022-08-26,4.9196,-0.44
164/A/NBP/2022,2022-08-25,4.9415,-1
163/A/NBP/2022,2022-08-24,4.9916,0.44
162/A/NBP/2022,2022-08-23,4.9696,0.51
161/A/NBP/2022,2022-08-22,4.9444,0.58
160/A/NBP/2022,2022-08-19,4.9159,0.87
159/A/NBP/2022,2022-08-18,4.8733,0.48
158/A/NBP/2022,2022-08-17,4.85,-0.58
157/A/NBP/2022,2022-08-16,4.8784,0.96
156/A/NBP/2022,2022-08-12,4.8318,0.38
155/A/NBP/2022,2022-08-11,4.8134,-0.66
154/A/NBP/2022,2022-08-10,4.8454,0.45
153/A/NBP/2022,2022-08-09,4.8239,0.21
152/A/NBP/2022,2022-08-08,4.8137,-0.03
151/A/NBP/2022,2022-08-05,4.8153,-0.15
150/A/NBP/2022,2022-08-04,4.8226,0.21
149/A/NBP/2022,2022-08-03,4.8127,-0.4
148/A/NBP/2022,2022-08-02,4.8322,-0.84
147/A/NBP/2022,2022-08-01,4.873,0.1
146/A/NBP/2022,2022-07-29,4.8682,-0.73
145/A/NBP/2022,2022-07-28,4.904,0
144/A/NBP/2022,2022-07-27,4.9039,2.29
143/A/NBP/2022,2022-07-26,4.7943,0.05
142/A/NBP/2022,2022-07-25,4.7917,-1.16
141/A/NBP/2022,2022-07-22,4.8479,0.98
140/A/NBP/2022,2022-07-21,4.8008,0.05
139/A/NBP/2022,2022-07-20,4.7982,-0.11
138/A/NBP/2022,2022-07-19,4.8036,-0.73
137/A/NBP/2022,2022-07-18,4.8387,-1.11
136/A/NBP/2022,2022-07-15,4.893,-0.21
135/A/NBP/2022,2022-07-14,4.9035,-0.47
134/A/NBP/2022,2022-07-13,4.9269,0.49
133/A/NBP/2022,2022-07-12,4.9031,1.28
132/A/NBP/2022,2022-07-11,4.8409,-0.25
131/A/NBP/2022,2022-07-08,4.8528,0.23
130/A/NBP/2022,2022-07-07,4.8418,0.27
129/A/NBP/2022,2022-07-06,4.8287,1.36
128/A/NBP/2022,2022-07-05,4.7641,1.56
127/A/NBP/2022,2022-07-04,4.6911,-0.35
126/A/NBP/2022,2022-07-01,4.7075,0.36
125/A/NBP/2022,2022-06-30,4.6904,0.63
124/A/NBP/2022,2022-06-29,4.6611,0.21
123/A/NBP/2022,2022-06-28,4.6513,0.43
122/A/NBP/2022,2022-06-27,4.6314,-0.48
121/A/NBP/2022,2022-06-24,4.6538,0.35
120/A/NBP/2022,2022-06-23,4.6375,1.22
119/A/NBP/2022,2022-06-22,4.5818,0.67
118/A/NBP/2022,2022-06-21,4.5511,-1.05
117/A/NBP/2022,2022-06-20,4.5993,-0.5
116/A/NBP/2022,2022-06-17,4.6223,3.7
115/A/NBP/2022,2022-06-15,4.4574,-0.87
114/A/NBP/2022,2022-06-14,4.4967,0.84
113/A/NBP/2022,2022-06-13,4.4594,0.68
112/A/NBP/2022,2022-06-10,4.4292,1.36
111/A/NBP/2022,2022-06-09,4.3696,-0.31
110/A/NBP/2022,2022-06-08,4.3834,-0.38
109/A/NBP/2022,2022-06-07,4.4,-0.93
108/A/NBP/2022,2022-06-06,4.4412,-0.3
107/A/NBP/2022,2022-06-03,4.4547,-0.32
106/A/NBP/2022,2022-06-02,4.4689,0.35
105/A/NBP/2022,2022-06-01,4.4531,0.32
104/A/NBP/2022,2022-05-31,4.4387,-0.35
103/A/NBP/2022,2022-05-30,4.4544,-0.6
102/A/NBP/2022,2022-05-27,4.4814,-0.42
101/A/NBP/2022,2022-05-26,4.5003,0.62
100/A/NBP/2022,2022-05-25,4.4727,0.01
99/A/NBP/2022,2022-05-24,4.4723,-0.07
98/A/NBP/2022,2022-05-23,4.4755,-0.68
97/A/NBP/2022,2022-05-20,4.5061,-0.53
96/A/NBP/2022,2022-05-19,4.5303,2.05
95/A/NBP/2022,2022-05-18,4.4395,-0.33
94/A/NBP/2022,2022-05-17,4.4542,-0.09
93/A/NBP/2022,2022-05-16,4.4582,-0.58
92/A/NBP/2022,2022-05-13,4.4843,-0.39
91/A/NBP/2022,2022-05-12,4.502,0.72
90/A/NBP/2022,2022-05-11,4.47,0.39
89/A/NBP/2022,2022-05-10,4.4528,-1.21
88/A/NBP/2022,2022-05-09,4.5074,-0.27
87/A/NBP/2022,2022-05-06,4.5196,0.45
86/A/NBP/2022,2022-05-05,4.4995,-0.75
85/A/NBP/2022,2022-05-04,4.5333,-0.93
84/A/NBP/2022,2022-05-02,4.576,0.56
83/A/NBP/2022,2022-04-29,4.5504,-0.91
82/A/NBP/2022,2022-04-28,4.5921,-0.26
81/A/NBP/2022,2022-04-27,4.6042,1.65
80/A/NBP/2022,2022-04-26,4.5294,0.55
79/A/NBP/2022,2022-04-25,4.5047,0.26
78/A/NBP/2022,2022-04-22,4.493,0.04
77/A/NBP/2022,2022-04-21,4.4913,-0.3
76/A/NBP/2022,2022-04-20,4.5049,-0.62
75/A/NBP/2022,2022-04-19,4.533,-0.36
74/A/NBP/2022,2022-04-15,4.5493,-0.1
73/A/NBP/2022,2022-04-14,4.5539,-1.04
72/A/NBP/2022,2022-04-13,4.6016,0.02
71/A/NBP/2022,2022-04-12,4.6005,0.95
70/A/NBP/2022,2022-04-11,4.5574,-0.19
69/A/NBP/2022,2022-04-08,4.5663,-0.28
68/A/NBP/2022,2022-04-07,4.5793,0.22
67/A/NBP/2022,2022-04-06,4.5691,0.22
66/A/NBP/2022,2022-04-05,4.559,0.44
65/A/NBP/2022,2022-04-04,4.539,-0.09
64/A/NBP/2022,2022-04-01,4.5431,0.5
63/A/NBP/2022,2022-03-31,4.5207,0.36
62/A/NBP/2022,2022-03-30,4.5045,-1.67
61/A/NBP/2022,2022-03-29,4.5809,0.25
60/A/NBP/2022,2022-03-28,4.5697,-1.79
59/A/NBP/2022,2022-03-25,4.6528,0.25
58/A/NBP/2022,2022-03-24,4.6412,1.51
57/A/NBP/2022,2022-03-23,4.5722,0.17
56/A/NBP/2022,2022-03-22,4.5644,0.07
55/A/NBP/2022,2022-03-21,4.5614,-0.19
54/A/NBP/2022,2022-03-18,4.5701,1.27
53/A/NBP/2022,2022-03-17,4.5127,-0.93
52/A/NBP/2022,2022-03-16,4.555,-0.53
51/A/NBP/2022,2022-03-15,4.5793,-1.12
50/A/NBP/2022,2022-03-14,4.631,-1.24
49/A/NBP/2022,2022-03-11,4.689,-0.06
48/A/NBP/2022,2022-03-10,4.6917,-1.39
47/A/NBP/2022,2022-03-09,4.758,-2.06
46/A/NBP/2022,2022-03-08,4.8579,-1.77
45/A/NBP/2022,2022-03-07,4.9452,3.48
44/A/NBP/2022,2022-03-04,4.7787,1.61
43/A/NBP/2022,2022-03-03,4.7028,-0.39
42/A/NBP/2022,2022-03-02,4.7212,2.55
41/A/NBP/2022,2022-03-01,4.6037,1.22
40/A/NBP/2022,2022-02-28,4.5483,1.07
39/A/NBP/2022,2022-02-25,4.5001,0.43
38/A/NBP/2022,2022-02-24,4.4808,3.24
37/A/NBP/2022,2022-02-23,4.3401,-0.63
36/A/NBP/2022,2022-02-22,4.3676,0.8
35/A/NBP/2022,2022-02-21,4.3328,0.22
34/A/NBP/2022,2022-02-18,4.3233,0.38
33/A/NBP/2022,2022-02-17,4.307,0.85
32/A/NBP/2022,2022-02-16,4.2706,-0.58
31/A/NBP/2022,2022-02-15,4.2954,-1.82
30/A/NBP/2022,2022-02-14,4.375,2.33
29/A/NBP/2022,2022-02-11,4.2754,0.68
28/A/NBP/2022,2022-02-10,4.2465,-0.78
27/A/NBP/2022,2022-02-09,4.2798,-0.41
26/A/NBP/2022,2022-02-08,4.2973,-0.32
25/A/NBP/2022,2022-02-07,4.3112,0.15
24/A/NBP/2022,2022-02-04,4.3046,-1.4
23/A/NBP/2022,2022-02-03,4.3656,-0.31
22/A/NBP/2022,2022-02-02,4.379,-0.67
21/A/NBP/2022,2022-02-01,4.4087,-0.16
20/A/NBP/2022,2022-01-31,4.4156,0.16
19/A/NBP/2022,2022-01-28,4.4086,0.13
18/A/NBP/2022,2022-01-27,4.4029,-0.41
17/A/NBP/2022,2022-01-26,4.4211,0.11
16/A/NBP/2022,2022-01-25,4.4161,0.52
15/A/NBP/2022,2022-01-24,4.3932,0.33
14/A/NBP/2022,2022-01-21,4.3786,0.63
13/A/NBP/2022,2022-01-20,4.3511,-0.19
12/A/NBP/2022,2022-01-19,4.3594,0.36
11/A/NBP/2022,2022-01-18,4.3436,0.29
10/A/NBP/2022,2022-01-17,4.331,-0.36
9/A/NBP/2022,2022-01-14,4.3466,0.51
8/A/NBP/2022,2022-01-13,4.3244,0.12
7/A/NBP/2022,2022-01-12,4.3192,-0.25
6/A/NBP/2022,2022-01-11,4.33,-0.46
5/A/NBP/2022,2022-01-10,4.35,-0.5
4/A/NBP/2022,2022-01-07,4.372,-0.88
3/A/NBP/2022,2022-01-05,4.4106,0.04
2/A/NBP/2022,2022-01-04,4.409,-0.53
1/A/NBP/2022,2022-01-03,4.4326,-0.36
254/A/NBP/2021,2021-12-31,4.4484,0.5
253/A/NBP/2021,2021-12-30,4.4262,-0.23
252/A/NBP/2021,2021-12-29,4.4362,0.08
251/A/NBP/2021,2021-12-28,4.4328,-0.3
250/A/NBP/2021,2021-12-27,4.4463,0.01
249/A/NBP/2021,2021-12-24,4.4458,-0.09
248/A/NBP/2021,2021-12-23,4.4497,0.37
247/A/NBP/2021,2021-12-22,4.4335,-0.29
246/A/NBP/2021,2021-12-21,4.4462,-0.23
245/A/NBP/2021,2021-12-20,4.4565,0.08
244/A/NBP/2021,2021-12-17,4.4531,0.51
243/A/NBP/2021,2021-12-16,4.4306,-0.13
242/A/NBP/2021,2021-12-15,4.4362,-0.6
241/A/NBP/2021,2021-12-14,4.4631,0.67
240/A/NBP/2021,2021-12-13,4.4335,0.17
239/A/NBP/2021,2021-12-10,4.4259,-0.1
238/A/NBP/2021,2021-12-09,4.4305,0.58
237/A/NBP/2021,2021-12-08,4.4049,-0.27
236/A/NBP/2021,2021-12-07,4.4169,0.32
235/A/NBP/2021,2021-12-06,4.4029,-0.31
234/A/NBP/2021,2021-12-03,4.4165,0.08
233/A/NBP/2021,2021-12-02,4.4131,-1.17
232/A/NBP/2021,2021-12-01,4.4652,-0.53
231/A/NBP/2021,2021-11-30,4.4888,-0.28
230/A/NBP/2021,2021-11-29,4.5013,-0.13
229/A/NBP/2021,2021-11-26,4.5071,1.15
228/A/NBP/2021,2021-11-25,4.456,-0.18
227/A/NBP/2021,2021-11-24,4.4639,-0.69
226/A/NBP/2021,2021-11-23,4.4948,-0.31
225/A/NBP/2021,2021-11-22,4.5089,0.69
224/A/NBP/2021,2021-11-19,4.4782,0.98
223/A/NBP/2021,2021-11-18,4.4346,0.26
222/A/NBP/2021,2021-11-17,4.4232,-0.12
221/A/NBP/2021,2021-11-16,4.4285,0.63
220/A/NBP/2021,2021-11-15,4.4008,0.05
219/A/NBP/2021,2021-11-12,4.3984,0.98
218/A/NBP/2021,2021-11-10,4.3555,0.35
217/A/NBP/2021,2021-11-09,4.3401,-0.1
216/A/NBP/2021,2021-11-08,4.3445,-0.4
215/A/NBP/2021,2021-11-05,4.362,0.01
214/A/NBP/2021,2021-11-04,4.3616,0.14
213/A/NBP/2021,2021-11-03,4.3554,-0.14
212/A/NBP/2021,2021-11-02,4.3615,0.27
211/A/NBP/2021,2021-10-29,4.3496,0.05
210/A/NBP/2021,2021-10-28,4.3473,0.26
209/A/NBP/2021,2021-10-27,4.3362,0.54
208/A/NBP/2021,2021-10-26,4.313,0.18
207/A/NBP/2021,2021-10-25,4.3054,-0.24
206/A/NBP/2021,2021-10-22,4.3157,0.6
205/A/NBP/2021,2021-10-21,4.2899,0.61
204/A/NBP/2021,2021-10-20,4.2637,-0.02
203/A/NBP/2021,2021-10-19,4.2644,0.08
202/A/NBP/2021,2021-10-18,4.2611,-0.19
201/A/NBP/2021,2021-10-15,4.2691,-0.29
200/A/NBP/2021,2021-10-14,4.2814,0.3
199/A/NBP/2021,2021-10-13,4.2684,-0.14
198/A/NBP/2021,2021-10-12,4.2745,-0.64
197/A/NBP/2021,2021-10-11,4.302,0.62
196/A/NBP/2021,2021-10-08,4.2756,0.77
195/A/NBP/2021,2021-10-07,4.2428,-1.33
194/A/NBP/2021,2021-10-06,4.3002,0.39
193/A/NBP/2021,2021-10-05,4.2836,1.1
192/A/NBP/2021,2021-10-04,4.2371,-0.49
191/A/NBP/2021,2021-10-01,4.2579,-0.34
190/A/NBP/2021,2021-09-30,4.2725,0.07
189/A/NBP/2021,2021-09-29,4.2694,0.17
188/A/NBP/2021,2021-09-28,4.2622,0.74
187/A/NBP/2021,2021-09-27,4.2307,-0.44
186/A/NBP/2021,2021-09-24,4.2494,0
185/A/NBP/2021,2021-09-23,4.2494,-0.69
184/A/NBP/2021,2021-09-22,4.2789,0.71
183/A/NBP/2021,2021-09-21,4.2489,0.75
182/A/NBP/2021,2021-09-20,4.2172,0.58
181/A/NBP/2021,2021-09-17,4.1929,-0.3
180/A/NBP/2021,2021-09-16,4.2054,0.32
179/A/NBP/2021,2021-09-15,4.192,0.27
178/A/NBP/2021,2021-09-14,4.1807,0.06
177/A/NBP/2021,2021-09-13,4.1782,-0.41
176/A/NBP/2021,2021-09-10,4.1956,0.7
175/A/NBP/2021,2021-09-09,4.1663,0.29
174/A/NBP/2021,2021-09-08,4.1542,-0.17
173/A/NBP/2021,2021-09-07,4.1613,0.16
172/A/NBP/2021,2021-09-06,4.1546,-0.05
171/A/NBP/2021,2021-09-03,4.1568,0.03
170/A/NBP/2021,2021-09-02,4.1554,-0.32
169/A/NBP/2021,2021-09-01,4.1688,-0.71
168/A/NBP/2021,2021-08-31,4.1984,-0.72
167/A/NBP/2021,2021-08-30,4.2289,-0.36
166/A/NBP/2021,2021-08-27,4.2442,0.05
165/A/NBP/2021,2021-08-26,4.2422,-0.35
164/A/NBP/2021,2021-08-25,4.2573,-0.56
163/A/NBP/2021,2021-08-24,4.2811,0.07
162/A/NBP/2021,2021-08-23,4.2781,-0.08
161/A/NBP/2021,2021-08-20,4.2816,0
160/A/NBP/2021,2021-08-19,4.2818,0.62
159/A/NBP/2021,2021-08-18,4.2553,-0.12
158/A/NBP/2021,2021-08-17,4.2602,0.42
157/A/NBP/2021,2021-08-16,4.2425,0.52
156/A/NBP/2021,2021-08-13,4.2204,-0.47
155/A/NBP/2021,2021-08-12,4.2404,0.04
154/A/NBP/2021,2021-08-11,4.2385,0.27
153/A/NBP/2021,2021-08-10,4.2272,-0.35
152/A/NBP/2021,2021-08-09,4.2421,0
151/A/NBP/2021,2021-08-06,4.2422,-0.08
150/A/NBP/2021,2021-08-05,4.2454,0.22
149/A/NBP/2021,2021-08-04,4.2361,-0.01
148/A/NBP/2021,2021-08-03,4.2366,-0.04
147/A/NBP/2021,2021-08-02,4.2383,-0.14
146/A/NBP/2021,2021-07-30,4.2444,-0.19
145/A/NBP/2021,2021-07-29,4.2526,-0.02
144/A/NBP/2021,2021-07-28,4.2533,-0.02
143/A/NBP/2021,2021-07-27,4.254,0.38
142/A/NBP/2021,2021-07-26,4.2381,0.41
141/A/NBP/2021,2021-07-23,4.2208,-0.17
140/A/NBP/2021,2021-07-22,4.2279,-0.24
139/A/NBP/2021,2021-07-21,4.2379,-0.23
138/A/NBP/2021,2021-07-20,4.2477,0.43
137/A/NBP/2021,2021-07-19,4.2297,0.18
136/A/NBP/2021,2021-07-16,4.2219,-0.31
135/A/NBP/2021,2021-07-15,4.2349,-0.08
134/A/NBP/2021,2021-07-14,4.2384,0.71
133/A/NBP/2021,2021-07-13,4.2087,0.29
132/A/NBP/2021,2021-07-12,4.1965,0
131/A/NBP/2021,2021-07-09,4.1965,0.26
130/A/NBP/2021,2021-07-08,4.1858,1.1
129/A/NBP/2021,2021-07-07,4.1402,0.56
128/A/NBP/2021,2021-07-06,4.1172,-0.08
127/A/NBP/2021,2021-07-05,4.1207,-0.27
126/A/NBP/2021,2021-07-02,4.1317,0.36
125/A/NBP/2021,2021-07-01,4.1167,-0.11
124/A/NBP/2021,2021-06-30,4.1212,0.12
123/A/NBP/2021,2021-06-29,4.1161,0.05
122/A/NBP/2021,2021-06-28,4.1139,-0.09
121/A/NBP/2021,2021-06-25,4.1175,-0.29
120/A/NBP/2021,2021-06-24,4.1296,0.16
119/A/NBP/2021,2021-06-23,4.1231,-0.53
118/A/NBP/2021,2021-06-22,4.1451,-0.08
117/A/NBP/2021,2021-06-21,4.1486,-0.23
116/A/NBP/2021,2021-06-18,4.158,0.18
115/A/NBP/2021,2021-06-17,4.1505,-0.15
114/A/NBP/2021,2021-06-16,4.1567,-0.08
113/A/NBP/2021,2021-06-15,4.1601,0.58
112/A/NBP/2021,2021-06-14,4.136,0.77
111/A/NBP/2021,2021-06-11,4.1043,-0.1
110/A/NBP/2021,2021-06-10,4.1084,0.76
109/A/NBP/2021,2021-06-09,4.0775,-0.31
108/A/NBP/2021,2021-06-08,4.0901,0.36
107/A/NBP/2021,2021-06-07,4.0756,-0.2
106/A/NBP/2021,2021-06-04,4.0838,0.32
105/A/NBP/2021,2021-06-02,4.0707,0
104/A/NBP/2021,2021-06-01,4.0709,-0.26
103/A/NBP/2021,2021-05-31,4.0815,-0.31
102/A/NBP/2021,2021-05-28,4.0941,-0.36
101/A/NBP/2021,2021-05-27,4.1087,0.23
100/A/NBP/2021,2021-05-26,4.0993,0.22
99/A/NBP/2021,2021-05-25,4.0902,-0.08
98/A/NBP/2021,2021-05-24,4.0935,-0.16
97/A/NBP/2021,2021-05-21,4.0999,-0.28
96/A/NBP/2021,2021-05-20,4.1113,-0.19
95/A/NBP/2021,2021-05-19,4.1193,-0.26
94/A/NBP/2021,2021-05-18,4.1301,-0.11
93/A/NBP/2021,2021-05-17,4.1347,-0.16
92/A/NBP/2021,2021-05-14,4.1413,-0.14
91/A/NBP/2021,2021-05-13,4.1472,0.14
90/A/NBP/2021,2021-05-12,4.1413,-0.43
89/A/NBP/2021,2021-05-11,4.1592,-0.14
88/A/NBP/2021,2021-05-10,4.1651,-0.17
87/A/NBP/2021,2021-05-07,4.1723,-0.21
